Year,Month,Temperature (F),Rainfall (inches),Humidity (%)
2021,Jan,30,2.1,75
2021,Feb,32,2.2,71
2021,Mar,40,3.1,64
2021,Apr,54,3.9,54
2021,May,68,4.8,48
2021,Jun,77,3.5,53
2021,Jul,82,3.2,52
2021,Aug,79,4,56
2021,Sep,71,2.8,58
2021,Oct,59,2.3,63
2021,Nov,44,1.8,69
2021,Dec,33,1.5,74
2022,Jan,26,1.7,72
2022,Feb,29,1.8,68
2022,Mar,42,2.5,60
2022,Apr,58,3.2,50
2022,May,71,4.1,46
2022,Jun,81,3.6,51
2022,Jul,85,3.1,49
2022,Aug,80,4.2,55
2022,Sep,70,2.9,58
2022,Oct,56,2.2,64
2022,Nov,41,1.7,70
2022,Dec,29,1.4,76